门店ID,门店名称,区域,门店类型,商品SKU,商品名称,品类,当前库存,在途数量,安全库存,7天预测需求,缺货风险等级,建议补货量,使用策略,可调拨门店,建议原因
S001,南京路旗舰店,华东区,旗舰店,SKU006,可乐330ml罐,饮料,148,40,70,1560.66,高,3744,饮料促销策略,,"7天预测需求约1560.7；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S001,南京路旗舰店,华东区,旗舰店,SKU007,薯片原味,零食,9,0,40,1075.94,高,5136,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约1075.9；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S001,南京路旗舰店,华东区,旗舰店,SKU008,巧克力棒,零食,42,8,25,453.59,高,2136,零食标准策略,,"7天预测需求约453.6；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S001,南京路旗舰店,华东区,旗舰店,SKU010,纸巾抽纸3包,日化,13,0,18,272.91,高,2556,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约272.9；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x"
S002,陆家嘴店,华东区,标准店,SKU001,经典牛奶250ml,乳制品,4,0,50,736.22,高,840,保守策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约736.2；策略:保守策略(服务水平99%,周转5天,提前期2天)；有效安全系数:2.10x"
S002,陆家嘴店,华东区,标准店,SKU002,原味酸奶100g,乳制品,44,31,80,1059.75,高,1200,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1059.8；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x"
S002,陆家嘴店,华东区,标准店,SKU003,全麦面包500g,烘焙,92,28,30,463.59,高,198,烘焙新鲜策略,,"7天预测需求约463.6；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x"
S002,陆家嘴店,华东区,标准店,SKU004,鸡蛋30枚装,蛋品,12,0,20,261.72,高,361,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约261.7；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x"
S002,陆家嘴店,华东区,标准店,SKU005,矿泉水550ml,饮料,43,13,100,2180.18,高,5448,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2180.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S002,陆家嘴店,华东区,标准店,SKU006,可乐330ml罐,饮料,130,58,70,910.94,高,2184,饮料促销策略,,"7天预测需求约910.9；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S002,陆家嘴店,华东区,标准店,SKU007,薯片原味,零食,9,0,40,856.66,高,4104,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约856.7；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S002,陆家嘴店,华东区,标准店,SKU008,巧克力棒,零食,31,2,25,362.72,高,1728,零食标准策略,,"7天预测需求约362.7；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S002,陆家嘴店,华东区,标准店,SKU010,纸巾抽纸3包,日化,5,0,18,223.44,高,2100,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约223.4；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x"
S003,中关村店,华北区,旗舰店,SKU001,经典牛奶250ml,乳制品,13,0,50,818.62,高,912,保守策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约818.6；策略:保守策略(服务水平99%,周转5天,提前期2天)；有效安全系数:2.10x"
S003,中关村店,华北区,旗舰店,SKU002,原味酸奶100g,乳制品,38,5,80,1233.66,高,1416,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1233.7；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x"
S003,中关村店,华北区,旗舰店,SKU003,全麦面包500g,烘焙,135,17,30,511.25,高,192,烘焙新鲜策略,,"7天预测需求约511.2；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x"
S003,中关村店,华北区,旗舰店,SKU004,鸡蛋30枚装,蛋品,11,0,20,294.16,高,404,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约294.2；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x"
S003,中关村店,华北区,旗舰店,SKU005,矿泉水550ml,饮料,38,25,100,2211.22,高,5520,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2211.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S003,中关村店,华北区,旗舰店,SKU006,可乐330ml罐,饮料,92,52,70,977.5,高,2376,饮料促销策略,,"7天预测需求约977.5；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S003,中关村店,华北区,旗舰店,SKU007,薯片原味,零食,12,0,40,925.16,高,4428,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约925.2；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S003,中关村店,华北区,旗舰店,SKU008,巧克力棒,零食,28,6,25,416.31,高,1980,零食标准策略,,"7天预测需求约416.3；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S003,中关村店,华北区,旗舰店,SKU010,纸巾抽纸3包,日化,12,0,18,244.84,高,2292,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约244.8；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x"
S004,国贸店,华北区,标准店,SKU001,经典牛奶250ml,乳制品,3,0,50,617.75,高,720,保守策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约617.8；策略:保守策略(服务水平99%,周转5天,提前期2天)；有效安全系数:2.10x"
S004,国贸店,华北区,标准店,SKU002,原味酸奶100g,乳制品,34,33,80,868.34,高,1032,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约868.3；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x"
S004,国贸店,华北区,标准店,SKU003,全麦面包500g,烘焙,82,29,30,378.44,高,156,烘焙新鲜策略,,"7天预测需求约378.4；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x"
S004,国贸店,华北区,标准店,SKU004,鸡蛋30枚装,蛋品,2,0,20,220.28,高,318,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约220.3；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x"
S004,国贸店,华北区,标准店,SKU005,矿泉水550ml,饮料,31,8,100,1728.5,高,4368,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约1728.5；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S004,国贸店,华北区,标准店,SKU006,可乐330ml罐,饮料,83,45,70,753.19,高,1848,饮料促销策略,,"7天预测需求约753.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S004,国贸店,华北区,标准店,SKU007,薯片原味,零食,9,0,40,762.16,高,3660,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约762.2；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S004,国贸店,华北区,标准店,SKU008,巧克力棒,零食,39,2,25,292.41,高,1392,零食标准策略,,"7天预测需求约292.4；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S004,国贸店,华北区,标准店,SKU010,纸巾抽纸3包,日化,4,0,18,177.12,高,1674,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约177.1；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x"
S005,天河城店,华南区,旗舰店,SKU001,经典牛奶250ml,乳制品,6,0,50,882.5,高,984,保守策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约882.5；策略:保守策略(服务水平99%,周转5天,提前期2天)；有效安全系数:2.10x"
S005,天河城店,华南区,旗舰店,SKU002,原味酸奶100g,乳制品,35,1,80,1243.78,高,1440,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1243.8；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x"
S005,天河城店,华南区,旗舰店,SKU003,全麦面包500g,烘焙,120,30,30,522.59,高,198,烘焙新鲜策略,,"7天预测需求约522.6；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x"
S005,天河城店,华南区,旗舰店,SKU004,鸡蛋30枚装,蛋品,16,0,20,320.84,高,433,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约320.8；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x"
S005,天河城店,华南区,旗舰店,SKU005,矿泉水550ml,饮料,45,5,100,2385.31,高,5952,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2385.3；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S005,天河城店,华南区,旗舰店,SKU006,可乐330ml罐,饮料,137,40,70,1119.25,高,2688,饮料促销策略,,"7天预测需求约1119.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x"
S005,天河城店,华南区,旗舰店,SKU007,薯片原味,零食,8,0,40,1110.44,高,5304,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约1110.4；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S005,天河城店,华南区,旗舰店,SKU008,巧克力棒,零食,41,9,25,420.97,高,1980,零食标准策略,,"7天预测需求约421.0；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x"
S005,天河城店,华南区,旗舰店,SKU010,纸巾抽纸3包,日化,11,0,18,261.66,高,2448,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约261.7；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x"
